,用户,时间,数量,金额,月份
28709,9202,1998-04-10,2,23.98,1998-04-01
28710,9203,1997-02-03,2,28.34,1997-02-01
28711,9204,1997-02-03,1,15.76,1997-02-01
28712,9204,1997-02-04,1,9.77,1997-02-01
28713,9205,1997-02-03,1,17.36,1997-02-01
28714,9206,1997-02-03,1,19.99,1997-02-01
28715,9206,1997-03-11,1,19.99,1997-03-01
28716,9206,1997-03-27,1,33.99,1997-03-01
28717,9206,1997-04-12,1,16.99,1997-04-01
28718,9206,1997-06-12,1,21.9,1997-06-01
28719,9206,1997-07-01,1,25.32,1997-07-01
28720,9206,1997-07-06,1,23.88,1997-07-01
28721,9206,1997-07-22,1,22.44,1997-07-01
28722,9206,1997-08-03,1,19.55,1997-08-01
28723,9206,1997-08-14,1,29.6,1997-08-01
28724,9206,1997-09-05,1,13.97,1997-09-01
28725,9206,1997-09-19,1,11.49,1997-09-01
28726,9206,1997-09-23,1,29.99,1997-09-01
28727,9206,1997-10-09,1,13.99,1997-10-01
28728,9206,1997-10-20,1,26.99,1997-10-01
28729,9206,1997-11-04,1,16.49,1997-11-01
28730,9206,1997-11-05,1,18.49,1997-11-01
28731,9206,1997-11-09,1,13.99,1997-11-01
28732,9206,1998-04-21,1,13.49,1998-04-01
28733,9206,1998-06-08,1,13.99,1998-06-01
28734,9207,1997-02-03,1,22.99,1997-02-01
28735,9208,1997-02-03,9,152.08,1997-02-01
28736,9208,1997-10-23,5,117.95,1997-10-01
28737,9208,1997-11-10,3,63.97,1997-11-01
28738,9208,1998-01-25,7,96.82,1998-01-01
28739,9208,1998-06-15,4,79.95,1998-06-01
28740,9209,1997-02-03,2,23.54,1997-02-01
28741,9209,1997-10-14,2,25.98,1997-10-01
28742,9209,1997-11-04,2,18.98,1997-11-01
28743,9209,1997-12-11,4,64.96,1997-12-01
28744,9209,1998-04-15,1,12.99,1998-04-01
28745,9209,1998-05-10,2,34.48,1998-05-01
28746,9209,1998-06-05,1,11.99,1998-06-01
28747,9210,1997-02-04,6,87.61,1997-02-01
28748,9210,1997-02-12,3,50.1,1997-02-01
28749,9210,1997-04-11,10,165.25,1997-04-01
28750,9210,1997-04-17,29,353.11,1997-04-01
28751,9210,1998-06-15,1,17.49,1998-06-01
28752,9211,1997-02-03,1,14.96,1997-02-01
28753,9212,1997-02-03,2,31.96,1997-02-01
28754,9212,1997-06-20,1,24.77,1997-06-01
28755,9212,1997-09-16,1,12.99,1997-09-01
28756,9213,1997-02-04,1,5.78,1997-02-01
28757,9214,1997-02-03,1,12.49,1997-02-01
28758,9214,1997-03-19,1,14.96,1997-03-01
28759,9214,1997-04-15,3,41.91,1997-04-01
28760,9214,1998-03-10,1,12.99,1998-03-01
28761,9214,1998-03-17,1,12.99,1998-03-01
28762,9214,1998-06-22,1,11.88,1998-06-01
28763,9215,1997-02-03,2,51.98,1997-02-01
28764,9215,1997-11-06,1,22.49,1997-11-01
28765,9215,1998-02-01,1,14.99,1998-02-01
28766,9216,1997-02-06,4,52.68,1997-02-01
28767,9216,1997-02-27,3,39.7,1997-02-01
28768,9217,1997-02-03,1,23.99,1997-02-01
28769,9218,1997-02-03,3,37.47,1997-02-01
28770,9218,1997-07-07,7,72.18,1997-07-01
28771,9218,1998-03-02,3,37.47,1998-03-01
28772,9219,1997-02-03,1,41.9,1997-02-01
28773,9220,1997-02-11,2,27.94,1997-02-01
28774,9221,1997-02-03,1,39.97,1997-02-01
28775,9222,1997-02-03,1,12.49,1997-02-01
28776,9222,1997-03-29,1,15.7,1997-03-01
28777,9222,1997-03-29,1,14.37,1997-03-01
28778,9222,1997-04-07,1,8.77,1997-04-01
28779,9222,1997-05-05,1,10.77,1997-05-01
28780,9222,1997-05-10,2,24.74,1997-05-01
28781,9222,1997-05-19,2,28.73,1997-05-01
28782,9222,1997-05-22,1,12.97,1997-05-01
28783,9222,1997-05-25,2,20.96,1997-05-01
28784,9222,1997-06-24,6,80.41,1997-06-01
28785,9222,1997-07-01,2,34.95,1997-07-01
28786,9222,1997-08-30,1,21.7,1997-08-01
28787,9222,1997-10-03,1,13.99,1997-10-01
28788,9222,1997-10-06,1,16.99,1997-10-01
28789,9222,1997-10-12,1,12.99,1997-10-01
28790,9223,1997-02-03,3,43.49,1997-02-01
28791,9223,1997-07-28,5,72.46,1997-07-01
28792,9223,1998-03-01,8,95.74,1998-03-01
28793,9224,1997-02-03,4,54.96,1997-02-01
28794,9224,1997-03-02,2,29.98,1997-03-01
28795,9225,1997-02-03,1,19.99,1997-02-01
28796,9225,1997-11-26,1,32.49,1997-11-01
28797,9225,1998-06-27,1,12.99,1998-06-01
28798,9226,1997-02-04,1,15.96,1997-02-01
28799,9226,1997-12-02,1,15.49,1997-12-01
28800,9227,1997-02-03,1,9.78,1997-02-01
28801,9228,1997-02-09,2,44.98,1997-02-01
28802,9228,1997-12-28,1,13.99,1997-12-01
28803,9228,1997-12-28,2,30.98,1997-12-01
28804,9228,1998-02-01,1,12.58,1998-02-01
28805,9229,1997-02-03,1,15.36,1997-02-01
28806,9229,1997-07-26,1,14.96,1997-07-01
28807,9230,1997-02-04,4,66.9,1997-02-01
28808,9230,1997-03-19,9,119.9,1997-03-01
28809,9230,1997-06-30,8,105.33,1997-06-01
28810,9230,1997-07-28,7,98.35,1997-07-01
28811,9231,1997-02-03,1,15.36,1997-02-01
28812,9232,1997-02-03,1,9.77,1997-02-01
28813,9233,1997-02-03,1,10.77,1997-02-01
28814,9234,1997-02-03,1,20.99,1997-02-01
28815,9235,1997-02-03,5,84.47,1997-02-01
28816,9235,1997-07-07,1,27.77,1997-07-01
28817,9235,1997-09-18,2,25.48,1997-09-01
28818,9235,1997-10-15,2,28.48,1997-10-01
28819,9235,1997-12-11,2,28.98,1997-12-01
28820,9235,1998-05-01,1,15.49,1998-05-01
28821,9235,1998-06-02,1,15.49,1998-06-01
28822,9236,1997-02-03,3,40.5,1997-02-01
28823,9237,1997-02-09,3,42.1,1997-02-01
28824,9237,1997-02-17,2,25.74,1997-02-01
28825,9237,1997-03-19,4,79.4,1997-03-01
28826,9237,1997-03-26,1,13.97,1997-03-01
28827,9237,1997-04-02,2,34.95,1997-04-01
28828,9237,1997-04-10,2,23.74,1997-04-01
28829,9237,1997-04-15,3,34.9,1997-04-01
28830,9237,1997-04-21,2,28.93,1997-04-01
28831,9237,1997-06-24,3,37.5,1997-06-01
28832,9237,1997-06-27,2,29.33,1997-06-01
28833,9237,1997-07-15,2,30.72,1997-07-01
28834,9237,1997-08-17,2,27.73,1997-08-01
28835,9237,1997-08-28,3,41.5,1997-08-01
28836,9237,1997-09-25,2,28.48,1997-09-01
28837,9237,1997-09-27,5,59.45,1997-09-01
28838,9237,1997-10-22,4,53.46,1997-10-01
28839,9237,1998-02-20,3,41.63,1998-02-01
28840,9238,1997-02-03,5,58.64,1997-02-01
28841,9238,1997-02-05,5,68.03,1997-02-01
28842,9238,1997-07-30,1,14.96,1997-07-01
28843,9238,1998-05-03,3,39.97,1998-05-01
28844,9239,1997-02-03,2,28.13,1997-02-01
28845,9240,1997-02-03,1,15.36,1997-02-01
28846,9240,1998-04-29,1,11.99,1998-04-01
28847,9241,1997-02-08,13,188.25,1997-02-01
28848,9241,1997-05-04,3,46.08,1997-05-01
28849,9241,1997-07-22,3,88.51,1997-07-01
28850,9241,1997-07-26,3,37.51,1997-07-01
28851,9242,1997-02-03,2,22.46,1997-02-01
28852,9242,1997-05-30,1,14.96,1997-05-01
28853,9242,1998-02-16,1,13.98,1998-02-01
28854,9242,1998-05-19,1,12.99,1998-05-01
28855,9242,1998-05-29,1,14.42,1998-05-01
28856,9243,1997-02-10,1,15.36,1997-02-01
28857,9243,1998-01-12,1,15.49,1998-01-01
28858,9243,1998-01-27,3,45.97,1998-01-01
28859,9244,1997-02-04,7,100.55,1997-02-01
28860,9245,1997-02-04,12,213.06,1997-02-01
28861,9245,1997-12-05,3,46.97,1997-12-01
28862,9246,1997-02-03,1,12.77,1997-02-01
28863,9246,1997-03-18,6,84.6,1997-03-01
28864,9247,1997-02-03,3,56.35,1997-02-01
28865,9247,1997-08-16,4,46.5,1997-08-01
28866,9248,1997-02-03,1,21.99,1997-02-01
28867,9249,1997-02-05,1,11.77,1997-02-01
28868,9250,1997-02-04,1,14.96,1997-02-01
28869,9251,1997-02-04,2,32.32,1997-02-01
28870,9252,1997-02-04,1,14.96,1997-02-01
28871,9253,1997-02-04,1,15.36,1997-02-01
28872,9254,1997-02-04,1,15.36,1997-02-01
28873,9254,1997-04-10,1,14.79,1997-04-01
28874,9254,1998-02-17,2,22.98,1998-02-01
28875,9254,1998-06-11,1,13.99,1998-06-01
28876,9255,1997-02-04,1,15.99,1997-02-01
28877,9256,1997-02-04,1,14.37,1997-02-01
28878,9257,1997-02-04,1,12.49,1997-02-01
28879,9257,1997-06-23,1,12.25,1997-06-01
28880,9257,1997-11-10,1,12.49,1997-11-01
28881,9257,1997-12-05,1,15.49,1997-12-01
28882,9257,1998-05-15,1,14.49,1998-05-01
28883,9258,1997-02-04,3,27.57,1997-02-01
28884,9258,1997-03-28,1,14.96,1997-03-01
28885,9258,1997-04-06,1,15.96,1997-04-01
28886,9258,1998-03-25,1,12.99,1998-03-01
28887,9258,1998-04-15,1,6.28,1998-04-01
28888,9258,1998-04-17,1,28.49,1998-04-01
28889,9258,1998-05-07,1,14.49,1998-05-01
28890,9259,1997-02-04,3,34.51,1997-02-01
28891,9260,1997-02-04,9,116.71,1997-02-01
28892,9261,1997-02-04,1,12.97,1997-02-01
28893,9262,1997-02-04,1,13.97,1997-02-01
28894,9262,1997-03-19,2,27.94,1997-03-01
28895,9262,1997-06-09,1,11.77,1997-06-01
28896,9262,1998-03-14,2,23.48,1998-03-01
28897,9263,1997-02-04,17,198.48,1997-02-01
28898,9263,1997-02-09,2,27.73,1997-02-01
28899,9263,1997-04-22,1,13.97,1997-04-01
28900,9264,1997-02-04,1,88.77,1997-02-01
28901,9265,1997-02-04,1,12.77,1997-02-01
28902,9265,1997-11-16,1,14.99,1997-11-01
28903,9265,1997-11-19,1,9.49,1997-11-01
28904,9265,1997-11-22,2,19.98,1997-11-01
28905,9265,1997-11-23,2,25.48,1997-11-01
28906,9265,1997-12-07,1,25.49,1997-12-01
28907,9265,1998-04-11,2,25.48,1998-04-01
28908,9265,1998-04-18,1,11.49,1998-04-01
28909,9265,1998-04-18,1,15.99,1998-04-01
28910,9266,1997-02-04,2,22.76,1997-02-01
28911,9266,1997-03-30,3,38.31,1997-03-01
28912,9266,1997-06-25,2,28.34,1997-06-01
28913,9266,1997-07-28,2,20.74,1997-07-01
28914,9266,1997-12-02,2,29.48,1997-12-01
28915,9267,1997-02-04,2,29.92,1997-02-01
28916,9268,1997-02-07,2,20.76,1997-02-01
28917,9269,1997-02-08,1,51.99,1997-02-01
28918,9269,1997-02-22,1,36.97,1997-02-01
28919,9269,1997-02-23,1,14.37,1997-02-01
28920,9270,1997-02-04,1,10.97,1997-02-01
28921,9271,1997-02-04,3,45.09,1997-02-01
28922,9271,1997-04-07,1,13.97,1997-04-01
28923,9271,1997-11-05,4,69.96,1997-11-01
28924,9271,1997-12-15,2,27.98,1997-12-01
28925,9271,1998-03-12,2,27.57,1998-03-01
28926,9271,1998-05-18,1,15.49,1998-05-01
28927,9272,1997-02-04,1,14.96,1997-02-01
28928,9273,1997-02-10,2,29.33,1997-02-01
28929,9274,1997-02-04,1,30.99,1997-02-01
28930,9274,1997-04-14,1,10.77,1997-04-01
28931,9274,1998-06-16,3,26.97,1998-06-01
28932,9275,1997-02-09,5,73.88,1997-02-01
28933,9275,1997-10-30,10,148.4,1997-10-01
28934,9275,1998-05-04,7,86.61,1998-05-01
28935,9276,1997-02-04,1,14.9,1997-02-01
28936,9277,1997-02-04,1,23.99,1997-02-01
28937,9278,1997-02-04,1,14.96,1997-02-01
28938,9278,1997-05-22,2,29.92,1997-05-01
28939,9279,1997-02-04,1,10.77,1997-02-01
28940,9280,1997-03-17,2,29.33,1997-03-01
28941,9281,1997-02-04,7,80.39,1997-02-01
28942,9281,1997-02-08,4,56.7,1997-02-01
28943,9281,1997-02-14,3,49.5,1997-02-01
28944,9281,1997-03-18,5,54.85,1997-03-01
28945,9281,1997-03-25,2,36.95,1997-03-01
28946,9281,1997-05-11,3,35.51,1997-05-01
28947,9281,1997-06-24,1,19.99,1997-06-01
28948,9281,1997-06-27,3,15.57,1997-06-01
28949,9281,1997-07-20,2,26.73,1997-07-01
28950,9281,1997-08-05,2,21.54,1997-08-01
28951,9281,1997-09-29,3,36.47,1997-09-01
28952,9281,1997-10-12,1,12.99,1997-10-01
28953,9281,1998-02-11,6,111.44,1998-02-01
28954,9282,1997-02-04,2,26.73,1997-02-01
28955,9283,1997-02-05,1,12.49,1997-02-01
28956,9284,1997-02-05,1,15.36,1997-02-01
28957,9285,1997-02-04,2,33.47,1997-02-01
28958,9286,1997-02-04,2,31.54,1997-02-01
28959,9287,1997-02-04,1,7.98,1997-02-01
28960,9288,1997-02-04,2,27.76,1997-02-01
28961,9289,1997-02-04,5,86.51,1997-02-01
28962,9289,1997-02-23,1,11.77,1997-02-01
28963,9289,1997-03-01,3,54.75,1997-03-01
28964,9289,1997-06-24,1,16.65,1997-06-01
28965,9289,1997-07-04,1,11.77,1997-07-01
28966,9289,1997-08-24,1,11.77,1997-08-01
28967,9289,1997-08-28,1,9.77,1997-08-01
28968,9289,1997-08-28,1,6.77,1997-08-01
28969,9289,1997-10-04,1,11.49,1997-10-01
28970,9289,1997-10-08,1,9.49,1997-10-01
28971,9289,1997-11-01,6,76.44,1997-11-01
28972,9289,1998-06-28,1,12.99,1998-06-01
28973,9290,1997-02-04,1,14.79,1997-02-01
28974,9291,1997-02-04,1,13.77,1997-02-01
28975,9292,1997-02-04,2,25.74,1997-02-01
28976,9293,1997-02-04,4,62.48,1997-02-01
28977,9294,1997-02-04,2,32.72,1997-02-01
28978,9294,1997-05-13,1,9.98,1997-05-01
28979,9295,1997-02-04,1,9.98,1997-02-01
28980,9296,1997-02-15,1,17.76,1997-02-01
28981,9296,1997-03-05,4,61.24,1997-03-01
28982,9296,1997-04-03,4,58.85,1997-04-01
28983,9296,1997-05-05,5,79.62,1997-05-01
28984,9296,1997-08-28,1,26.75,1997-08-01
28985,9297,1997-02-04,5,68.56,1997-02-01
28986,9298,1997-02-04,1,27.37,1997-02-01
28987,9299,1997-02-04,3,67.95,1997-02-01
28988,9299,1997-02-24,3,49.75,1997-02-01
28989,9299,1997-02-26,2,43.98,1997-02-01
28990,9299,1997-03-13,1,9.99,1997-03-01
28991,9299,1997-04-04,1,19.99,1997-04-01
28992,9299,1997-05-17,2,52.28,1997-05-01
28993,9299,1997-05-27,2,23.11,1997-05-01
28994,9299,1997-06-01,1,8.77,1997-06-01
28995,9299,1997-06-08,1,4.79,1997-06-01
28996,9299,1997-06-08,1,12.25,1997-06-01
28997,9299,1997-06-18,1,12.77,1997-06-01
28998,9299,1997-07-21,2,42.98,1997-07-01
28999,9299,1997-07-27,3,38.51,1997-07-01
29000,9299,1997-09-03,1,14.96,1997-09-01
29001,9299,1998-03-04,4,79.96,1998-03-01
29002,9299,1998-04-22,3,41.47,1998-04-01
29003,9299,1998-05-29,5,69.45,1998-05-01
29004,9300,1997-02-04,2,27.94,1997-02-01
29005,9300,1997-02-16,2,31.93,1997-02-01
29006,9301,1997-02-04,1,14.37,1997-02-01
29007,9302,1997-02-04,4,60.64,1997-02-01
29008,9303,1997-02-06,2,26.95,1997-02-01
29009,9304,1997-02-04,1,14.37,1997-02-01
29010,9304,1997-06-15,1,4.79,1997-06-01
29011,9305,1997-02-04,2,23.54,1997-02-01
29012,9306,1997-02-04,5,65.41,1997-02-01
29013,9307,1997-02-04,2,65.13,1997-02-01
29014,9307,1997-02-07,3,60.43,1997-02-01
29015,9307,1997-02-07,1,7.98,1997-02-01
29016,9307,1997-04-19,2,18.95,1997-04-01
29017,9307,1997-06-16,2,32.77,1997-06-01
29018,9307,1997-08-20,8,123.28,1997-08-01
29019,9307,1998-03-04,6,74.93,1998-03-01
29020,9307,1998-03-06,1,60.99,1998-03-01
29021,9308,1997-03-21,7,100.16,1997-03-01
29022,9309,1997-02-04,1,11.77,1997-02-01
29023,9310,1997-02-04,5,102.51,1997-02-01
29024,9310,1997-02-13,2,21.54,1997-02-01
29025,9311,1997-02-04,3,44.29,1997-02-01
29026,9311,1997-03-28,4,52.47,1997-03-01
29027,9311,1997-06-09,2,37.33,1997-06-01
29028,9311,1997-11-09,4,55.46,1997-11-01
29029,9311,1998-04-10,5,76.45,1998-04-01
29030,9311,1998-06-04,2,38.67,1998-06-01
29031,9312,1997-02-04,1,13.97,1997-02-01
29032,9313,1997-02-04,2,30.75,1997-02-01
29033,9314,1997-02-04,3,44.37,1997-02-01
29034,9314,1997-03-09,1,22.77,1997-03-01
29035,9314,1997-07-20,3,42.9,1997-07-01
29036,9314,1997-11-23,5,81.95,1997-11-01
29037,9314,1997-12-03,2,31.98,1997-12-01
29038,9314,1998-02-11,2,28.98,1998-02-01
29039,9314,1998-02-18,1,13.99,1998-02-01
29040,9315,1997-02-04,2,24.13,1997-02-01
29041,9316,1997-02-04,1,11.77,1997-02-01
29042,9317,1997-02-04,1,12.97,1997-02-01
29043,9318,1997-02-04,4,103.3,1997-02-01
29044,9319,1997-02-04,1,7.78,1997-02-01
29045,9320,1997-03-14,2,39.74,1997-03-01
29046,9320,1998-01-21,5,57.84,1998-01-01
29047,9321,1997-02-04,1,22.3,1997-02-01
29048,9321,1997-02-24,1,24.99,1997-02-01
29049,9322,1997-02-04,1,10.78,1997-02-01
29050,9322,1997-12-04,2,35.48,1997-12-01
29051,9323,1997-02-04,1,14.79,1997-02-01
29052,9324,1997-02-04,1,12.49,1997-02-01
29053,9325,1997-02-04,1,11.77,1997-02-01
29054,9326,1997-02-04,3,47.97,1997-02-01
29055,9327,1997-02-04,4,52.47,1997-02-01
29056,9328,1997-02-04,1,7.78,1997-02-01
29057,9329,1997-02-04,2,39.36,1997-02-01
29058,9329,1997-03-12,1,10.77,1997-03-01
29059,9329,1997-03-22,4,44.53,1997-03-01
29060,9329,1997-04-05,2,29.92,1997-04-01
29061,9330,1997-02-04,1,14.96,1997-02-01
29062,9330,1998-01-21,1,12.49,1998-01-01
29063,9330,1998-01-26,1,12.49,1998-01-01
29064,9331,1997-02-04,1,7.78,1997-02-01
29065,9332,1997-02-04,1,5.78,1997-02-01
29066,9333,1997-02-04,2,42.98,1997-02-01
29067,9334,1997-02-04,1,14.96,1997-02-01
29068,9335,1997-02-04,4,54.28,1997-02-01
29069,9336,1997-02-04,1,15.36,1997-02-01
29070,9337,1997-02-04,7,95.55,1997-02-01
29071,9338,1997-02-04,1,15.36,1997-02-01
29072,9338,1997-04-25,1,11.77,1997-04-01
29073,9339,1997-02-04,2,39.75,1997-02-01
29074,9340,1997-02-04,4,72.08,1997-02-01
29075,9340,1997-02-19,4,55.7,1997-02-01
29076,9340,1997-03-27,7,104.99,1997-03-01
29077,9340,1997-04-10,1,14.96,1997-04-01
29078,9340,1997-05-05,7,103.75,1997-05-01
29079,9340,1997-06-27,6,102.63,1997-06-01
29080,9340,1997-06-30,1,14.96,1997-06-01
29081,9340,1997-07-04,6,67.81,1997-07-01
29082,9340,1997-07-23,6,113.46,1997-07-01
29083,9340,1997-10-06,7,88.93,1997-10-01
29084,9340,1997-10-26,5,66.95,1997-10-01
29085,9340,1997-11-18,4,57.46,1997-11-01
29086,9340,1997-12-04,8,122.42,1997-12-01
29087,9340,1998-01-20,6,72.44,1998-01-01
29088,9340,1998-03-05,10,138.38,1998-03-01
29089,9340,1998-05-15,18,247.25,1998-05-01
29090,9340,1998-06-29,7,112.02,1998-06-01
29091,9341,1997-02-04,1,15.36,1997-02-01
29092,9341,1998-06-13,1,27.99,1998-06-01
29093,9342,1997-02-04,2,86.36,1997-02-01
29094,9342,1997-02-16,6,88.84,1997-02-01
29095,9342,1997-03-01,4,70.52,1997-03-01
29096,9342,1997-03-08,2,25.54,1997-03-01
29097,9342,1997-03-19,4,67.74,1997-03-01
29098,9342,1997-04-01,4,59.11,1997-04-01
29099,9342,1997-04-22,5,61.25,1997-04-01
29100,9342,1997-05-01,4,49.89,1997-05-01
29101,9342,1997-05-05,4,54.87,1997-05-01
29102,9342,1997-05-14,2,31.61,1997-05-01
29103,9342,1997-05-21,3,38.71,1997-05-01
29104,9342,1997-06-09,3,38.71,1997-06-01
29105,9342,1997-06-24,4,52.68,1997-06-01
29106,9342,1997-09-19,4,49.96,1997-09-01
29107,9342,1997-10-06,2,35.98,1997-10-01
29108,9342,1997-10-17,1,20.99,1997-10-01
29109,9342,1997-10-23,3,39.97,1997-10-01
29110,9342,1998-02-21,1,21.49,1998-02-01
29111,9342,1998-02-23,1,12.49,1998-02-01
29112,9343,1997-02-04,1,8.77,1997-02-01
29113,9344,1997-02-04,1,8.79,1997-02-01
29114,9344,1997-02-05,1,8.79,1997-02-01
29115,9344,1997-02-05,1,8.79,1997-02-01
29116,9345,1997-02-04,3,39.1,1997-02-01
29117,9346,1997-02-04,2,29.92,1997-02-01
29118,9347,1997-02-04,1,10.97,1997-02-01
29119,9347,1997-05-13,1,14.96,1997-05-01
29120,9348,1997-02-04,1,14.99,1997-02-01
29121,9348,1997-05-11,4,51.6,1997-05-01
29122,9349,1997-02-04,1,14.79,1997-02-01
29123,9349,1997-02-16,1,16.7,1997-02-01
29124,9349,1997-03-06,2,18.76,1997-03-01
29125,9350,1997-02-04,1,12.97,1997-02-01
29126,9350,1997-03-06,1,15.36,1997-03-01
29127,9350,1997-04-14,1,12.77,1997-04-01
29128,9350,1997-05-12,1,14.79,1997-05-01
29129,9350,1997-06-17,3,39.51,1997-06-01
29130,9350,1997-07-02,3,44.69,1997-07-01
29131,9350,1997-08-26,3,45.45,1997-08-01
29132,9350,1997-08-27,1,14.99,1997-08-01
29133,9350,1998-04-29,1,11.99,1998-04-01
29134,9351,1997-02-04,5,75.22,1997-02-01
29135,9351,1997-02-21,5,66.07,1997-02-01
29136,9352,1997-02-04,1,6.79,1997-02-01
29137,9353,1997-02-04,4,57.05,1997-02-01
29138,9354,1997-02-04,1,19.9,1997-02-01
29139,9355,1997-02-04,1,253.97,1997-02-01
29140,9355,1997-02-10,4,498.48,1997-02-01
29141,9356,1997-02-04,1,11.77,1997-02-01
29142,9357,1997-02-04,2,26.74,1997-02-01
29143,9358,1997-02-04,1,27.77,1997-02-01
29144,9358,1998-04-11,23,314.77,1998-04-01
29145,9359,1997-02-04,1,24.77,1997-02-01
29146,9359,1997-02-05,1,26.77,1997-02-01
29147,9359,1997-02-11,1,27.77,1997-02-01
29148,9359,1997-07-23,2,27.73,1997-07-01
29149,9359,1997-09-04,5,63.04,1997-09-01
29150,9359,1998-06-30,1,18.49,1998-06-01
29151,9360,1997-02-04,1,4.79,1997-02-01
29152,9361,1997-02-04,1,13.77,1997-02-01
29153,9362,1997-02-05,27,436.91,1997-02-01
29154,9363,1997-02-04,1,9.99,1997-02-01
29155,9363,1998-02-08,1,22.99,1998-02-01
29156,9364,1997-02-04,1,11.77,1997-02-01
29157,9365,1997-02-04,1,19.99,1997-02-01
29158,9366,1997-02-04,1,13.97,1997-02-01
29159,9367,1997-02-04,1,11.77,1997-02-01
29160,9367,1997-04-07,1,14.96,1997-04-01
29161,9367,1997-05-09,2,24.54,1997-05-01
29162,9367,1997-12-15,1,11.49,1997-12-01
29163,9368,1997-02-04,1,15.36,1997-02-01
29164,9368,1997-02-26,2,23.54,1997-02-01
29165,9368,1997-03-11,1,12.77,1997-03-01
29166,9368,1997-03-13,1,11.77,1997-03-01
29167,9368,1997-03-25,1,13.97,1997-03-01
29168,9368,1997-05-05,1,14.96,1997-05-01
29169,9368,1997-05-15,2,31.92,1997-05-01
29170,9368,1997-07-09,1,20.97,1997-07-01
29171,9368,1997-07-09,1,24.97,1997-07-01
29172,9368,1997-07-11,3,47.11,1997-07-01
29173,9368,1997-07-17,1,15.36,1997-07-01
29174,9368,1997-08-13,1,15.96,1997-08-01
29175,9368,1997-09-16,2,22.98,1997-09-01
29176,9368,1997-09-25,2,5.98,1997-09-01
29177,9368,1997-10-07,2,25.98,1997-10-01
29178,9368,1997-10-20,2,18.48,1997-10-01
29179,9368,1997-10-27,1,12.99,1997-10-01
29180,9368,1997-11-06,1,27.99,1997-11-01
29181,9368,1997-11-11,2,17.98,1997-11-01
29182,9368,1997-11-20,2,24.48,1997-11-01
29183,9368,1997-12-01,2,27.98,1997-12-01
29184,9368,1997-12-04,1,19.49,1997-12-01
29185,9368,1997-12-06,1,9.49,1997-12-01
29186,9368,1997-12-23,2,26.48,1997-12-01
29187,9368,1997-12-24,1,27.99,1997-12-01
29188,9368,1998-01-09,2,20.98,1998-01-01
29189,9368,1998-01-13,1,13.99,1998-01-01
29190,9368,1998-02-17,1,11.49,1998-02-01
29191,9368,1998-03-18,1,15.99,1998-03-01
29192,9368,1998-04-06,2,29.98,1998-04-01
29193,9368,1998-04-09,1,11.49,1998-04-01
29194,9368,1998-04-21,1,11.49,1998-04-01
29195,9368,1998-05-20,1,27.99,1998-05-01
29196,9368,1998-06-01,2,28.98,1998-06-01
29197,9369,1997-02-04,1,12.77,1997-02-01
29198,9370,1997-02-04,2,25.74,1997-02-01
29199,9371,1997-02-04,2,27.13,1997-02-01
29200,9371,1997-04-21,5,60.44,1997-04-01
29201,9371,1997-06-17,3,55.89,1997-06-01
29202,9372,1997-02-05,3,41.9,1997-02-01
29203,9372,1997-11-18,1,12.99,1997-11-01
29204,9373,1997-02-04,2,23.54,1997-02-01
29205,9374,1997-02-04,1,12.49,1997-02-01
29206,9374,1997-02-08,1,15.96,1997-02-01
29207,9375,1997-02-11,3,42.9,1997-02-01
29208,9375,1997-03-16,2,29.92,1997-03-01
29209,9375,1997-04-07,2,20.08,1997-04-01
29210,9375,1997-04-13,1,23.97,1997-04-01
29211,9375,1997-05-04,2,29.92,1997-05-01
29212,9375,1997-05-18,2,27.94,1997-05-01
29213,9375,1997-06-23,2,27.34,1997-06-01
29214,9375,1997-07-06,2,79.54,1997-07-01
29215,9375,1998-03-08,2,26.48,1998-03-01
29216,9376,1997-03-09,3,43.89,1997-03-01
29217,9376,1997-08-01,8,89.36,1997-08-01
29218,9377,1997-02-04,1,12.49,1997-02-01
29219,9377,1997-04-29,1,4.99,1997-04-01
29220,9378,1997-02-04,1,13.97,1997-02-01
29221,9378,1997-02-12,1,11.77,1997-02-01
29222,9378,1997-02-24,1,13.97,1997-02-01
29223,9378,1997-07-21,1,11.77,1997-07-01
29224,9378,1997-09-15,1,12.99,1997-09-01
29225,9378,1997-10-08,1,14.99,1997-10-01
29226,9379,1997-02-04,8,157.57,1997-02-01
29227,9379,1997-07-31,4,54.06,1997-07-01
29228,9380,1997-02-04,3,37.91,1997-02-01
29229,9380,1997-03-17,5,60.24,1997-03-01
29230,9380,1997-05-09,3,36.9,1997-05-01
29231,9380,1997-05-28,1,15.36,1997-05-01
29232,9380,1997-08-30,3,44.88,1997-08-01
29233,9380,1998-05-22,3,44.97,1998-05-01
29234,9381,1997-02-04,1,12.77,1997-02-01
29235,9381,1997-02-09,1,12.49,1997-02-01
29236,9381,1997-03-23,1,17.7,1997-03-01
29237,9381,1997-07-21,1,12.77,1997-07-01
29238,9381,1997-09-29,1,10.99,1997-09-01
29239,9382,1997-02-04,1,9.77,1997-02-01
29240,9383,1997-02-04,1,6.77,1997-02-01
29241,9383,1997-02-10,1,8.77,1997-02-01
29242,9384,1997-02-04,1,14.96,1997-02-01
29243,9384,1998-02-02,1,9.78,1998-02-01
29244,9385,1997-02-04,1,25.77,1997-02-01
29245,9386,1997-02-04,1,17.76,1997-02-01
